Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.08      6.68     6.68 645934982     0.00     0.00  b2Vec2::b2Vec2(float, float)
  9.81      9.65     2.97                             b2ContactSolver::SolveVelocityConstraints()
  7.20     11.84     2.18 204292053     0.00     0.00  operator-(b2Vec2 const&, b2Vec2 const&)
  6.08     13.68     1.84                             __x86.get_pc_thunk.bx
  5.28     15.28     1.60 144091499     0.00     0.00  operator*(float, b2Vec2 const&)
  4.92     16.77     1.49 127788570     0.00     0.00  b2Cross(b2Vec2 const&, b2Vec2 const&)
  3.76     17.91     1.14                             b2Mul(b2Transform const&, b2Vec2 const&)
  3.34     18.91     1.01                             b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  3.09     19.85     0.94                             b2Cross(float, b2Vec2 const&)
  2.97     20.75     0.90                             b2ContactSolver::SolvePositionConstraints()
  2.84     21.61     0.86 70884126     0.00     0.00  operator+(b2Vec2 const&, b2Vec2 const&)
  2.68     22.42     0.81                             b2Dot(b2Vec2 const&, b2Vec2 const&)
  1.96     23.02     0.59 40808439     0.00     0.00  b2Vec2::operator+=(b2Vec2 const&)
  1.80     23.56     0.55                             b2Mul(b2Rot const&, b2Vec2 const&)
  1.47     24.00     0.45                             b2Vec2::operator-=(b2Vec2 const&)
  1.12     24.34     0.34 41260163     0.00     0.00  float b2Min<float>(float, float)
  1.12     24.68     0.34                             b2ContactSolver::InitializeVelocityConstraints()
  1.06     25.00     0.32 87621152     0.00     0.00  b2Vec2::b2Vec2()
  0.99     25.30     0.30 35556446     0.00     0.00  float b2Max<float>(float, float)
  0.88     25.57     0.27                             b2Transform::b2Transform()
  0.86     25.83     0.26                             b2World::SolveTOI(b2TimeStep const&)
  0.79     26.07     0.24                             b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.73     26.29     0.22                             b2World::Solve(b2TimeStep const&)
  0.71     26.50     0.21                             float b2Clamp<float>(float, float, float)
  0.69     26.71     0.21                             b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int)
  0.66     26.91     0.20                             b2ContactSolver::b2ContactSolver(b2ContactSolverDef*)
  0.54     27.08     0.17                             b2Mul(b2Mat22 const&, b2Vec2 const&)
  0.50     27.23     0.15                             b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&)
  0.48     27.38     0.14 14397842     0.00     0.00  b2Vec2::Set(float, float)
  0.43     27.50     0.13                             b2Contact::Update(b2ContactListener*)
  0.40     27.62     0.12                             b2ContactSolver::WarmStart()
  0.36     27.73     0.11                             b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float)
  0.36     27.84     0.11                             b2ContactManager::Collide()
  0.31     27.94     0.10   463384     0.00     0.00  b2Vec2::operator*=(float)
  0.31     28.04     0.10                             b2MulT(b2Rot const&, b2Vec2 const&)
  0.31     28.13     0.10                             b2Vec2::operator-() const
  0.30     28.22     0.09                             b2Min(b2Vec2 const&, b2Vec2 const&)
  0.28     28.30     0.09                             b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int)
  0.28     28.39     0.09                             b2Rot::Set(float)
  0.26     28.47     0.08 22254408     0.00     0.00  b2Fixture::GetBody()
  0.26     28.55     0.08                             b2TestOverlap(b2AABB const&, b2AABB const&)
  0.26     28.63     0.08                             b2Max(b2Vec2 const&, b2Vec2 const&)
  0.26     28.71     0.08                             b2Cross(b2Vec2 const&, float)
  0.26     28.79     0.08                             b2Body::IsAwake() const
  0.23     28.86     0.07                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.20     28.92     0.06                             b2PositionSolverManifold::b2PositionSolverManifold()
  0.20     28.98     0.06                             b2Fixture::IsSensor() const
  0.17     29.03     0.05                             b2MulT(b2Transform const&, b2Vec2 const&)
  0.17     29.08     0.05                             b2MulT(b2Rot const&, b2Rot const&)
  0.17     29.13     0.05                             b2ClipVertex::b2ClipVertex()
  0.17     29.18     0.05                             b2ContactSolver::StoreImpulses()
  0.17     29.23     0.05                             b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  0.17     29.28     0.05                             b2Island::Report(b2ContactVelocityConstraint const*)
  0.13     29.32     0.04  8109683     0.00     0.00  b2Contact::GetFixtureA()
  0.13     29.36     0.04  6788844     0.00     0.00  b2Fixture::GetShape()
  0.13     29.40     0.04  5873886     0.00     0.00  b2Vec2::SetZero()
  0.13     29.44     0.04                             b2Mat22::SetZero()
  0.13     29.48     0.04                             b2Mat22::GetInverse() const
  0.12     29.52     0.04                             b2Vec2::Length() const
  0.10     29.55     0.03   639000     0.00     0.00  debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&)
  0.10     29.57     0.03                             b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*)
  0.10     29.61     0.03                             b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.10     29.64     0.03                             b2Vec2::Normalize()
  0.10     29.66     0.03                             b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  0.10     29.70     0.03                             b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  0.10     29.73     0.03                             b2Contact::IsEnabled() const
  0.08     29.75     0.03                             b2MulT(b2Transform const&, b2Transform const&)
  0.08     29.77     0.03                             b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&)
  0.08     29.80     0.03                             b2Rot::b2Rot()
  0.07     29.82     0.02  8109683     0.00     0.00  b2Contact::GetFixtureB()
  0.07     29.84     0.02  3991606     0.00     0.00  b2Contact::GetManifold()
  0.07     29.86     0.02  1331033     0.00     0.00  b2WorldManifold::b2WorldManifold()
  0.07     29.88     0.02                             b2TreeNode::IsLeaf() const
  0.07     29.90     0.02                             b2DynamicTree::GetFatAABB(int) const
  0.07     29.92     0.02                             b2Body::GetType() const
  0.07     29.94     0.02                             b2Body::IsBullet() const
  0.05     29.95     0.01                             b2Rot::b2Rot(float)
  0.05     29.97     0.01                             b2Contact::GetNext()
  0.03     29.98     0.01  1331033     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.03     29.99     0.01                             b2CollideEdgeAndPolygon(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.03     30.00     0.01                             b2WeldJoint::SolvePositionConstraints(b2SolverData const&)
  0.03     30.01     0.01                             b2GrowableStack<int, 256>::Pop()
  0.03     30.02     0.01                             b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&)
  0.03     30.03     0.01                             b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&)
  0.03     30.04     0.01                             b2SimplexVertex::b2SimplexVertex()
  0.03     30.05     0.01                             b2StackAllocator::Free(void*)
  0.03     30.06     0.01                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  0.03     30.07     0.01                             b2Body::GetFixtureList()
  0.03     30.08     0.01                             b2Joint::GetBodyA()
  0.03     30.09     0.01                             b2Mat22::b2Mat22()
  0.03     30.10     0.01                             b2World::ClearForces()
  0.03     30.11     0.01                             b2World::DrawDebugData()
  0.03     30.12     0.01                             b2Island::SolveTOI(b2TimeStep const&, int, int)
  0.03     30.13     0.01                             b2BroadPhase::TestOverlap(int, int) const
  0.03     30.14     0.01                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  0.03     30.15     0.01                             b2PolygonShape::Validate() const
  0.03     30.16     0.01                             b2DistanceProxy::GetSupport(b2Vec2 const&) const
